AccessionID,AccessionName,HasSeed,User,PopulationName,NumberOfMaternalLines,DateCollected,LocalityName,Latitude,Longitude,Altitude,Datum,Ploidy,StorageLocation,Source,ExternalID,Background,Generation,CountryOfOrigin,Notes,FirstParentID,SecondParentID,FirstParentSex,SecondParentSex
108,BdTR5i,,,,,,Turkey (various),40.39,32.99,1596,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
109,BdTR5j,,,,,,Turkey (various),40.39,32.99,1596,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
110,BdTR5k,,,,,,Turkey (various),40.39,32.99,1596,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
111,BdTR5m,,,,,,Turkey (various),40.39,32.99,1596,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
112,BdTR5n,,,,,,Turkey (various),40.39,32.99,1596,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
113,BdTR5o,,,,,,Turkey (various),39.75,33.54,872,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
114,BdTR7a,,,,,,Turkey (various),39.75,34.65,1035,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
115,BdTR7b,,,,,,Turkey (various),39.09,35.19,1249,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
116,BdTR8a,,,,,,Turkey (various),39.75,33.54,872,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
117,BdTR8c,,,,,,Turkey (various),39.41,32.99,1192,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
118,BdTR8f,,,,,,Turkey (various),37.77,33.52,1013,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,seeds from Iain Wilson empty,,,,
119,BdTR8i,,,,,,Turkey (various),37.11,34.07,2385,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
