,accession_name,has_seed,population,species_id,collector_id,date_collected,has_seed,locality_name,latitude,longitude,altitude,datum,collection_trip_id,maternal_lines,ploidy,box_id,source,external_id,background,generation,country_origin,notes,lineage_id,accession_data_json
75,BdTR2k,,,6,3,27/07/2012,,Turkey (various),38.7579861111111,34.0717611111111,1142,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
76,BdTR2m,,,6,3,27/07/2012,,Turkey (various),38.0979944444444,34.09455,1406,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
77,BdTR2n,,,6,3,27/07/2012,,Turkey (various),37.7678555555556,33.5196055555556,1013,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
78,BdTR2o,,,6,3,27/07/2012,,Turkey (various),39.7564861111111,32.43235,787,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
79,BdTR2p,,,6,3,27/07/2012,,Turkey (various),39.75445,33.5378805555556,872,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
80,BdTR2r,,,6,3,27/07/2012,,Turkey (various),39.4128555555556,32.9881222222222,1192,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
81,BdTR2s,,,6,3,27/07/2012,,Turkey (various),38.7579861111111,34.0717611111111,1142,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
82,BdTR3a,,,6,3,27/07/2012,,Turkey (various),37.7678555555556,33.5196055555556,1013,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
83,BdTR3b,,,6,3,27/07/2012,,Turkey (various),37.1088527777778,34.0714055555556,2385,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
84,BdTR3c,,,6,3,27/07/2012,,Turkey (various),36.7830333333333,32.962975,1957,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
85,BdTR3d,,,6,3,27/07/2012,,Turkey (various),40.4055305555556,34.6361388888889,1088,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
86,BdTR3e,,,6,3,27/07/2012,,Turkey (various),39.7481805555556,34.6503194444444,1035,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
87,BdTR3f,,,6,3,27/07/2012,,Turkey (various),39.0921222222222,35.1885055555556,1249,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
88,BdTR3g,,,6,3,27/07/2012,,Turkey (various),38.4046833333333,35.1595333333333,1086,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
89,BdTR3h,,,6,3,27/07/2012,,Turkey (various),37.778675,35.2026527777778,3196,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
90,BdTR3i,,,6,3,27/07/2012,,Turkey (various),39.7475916666667,36.8157916666667,1574,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
91,BdTR3j,,,6,3,27/07/2012,,Turkey (various),38.7570361111111,36.2824722222222,1849,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
92,BdTR3k,,,6,3,27/07/2012,,Turkey (various),38.4200277777778,37.3908305555556,1709,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
93,BdTR3m,,,6,3,27/07/2012,,Turkey (various),37.7661138888889,37.8898777777778,614,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
94,BdTR3n,,,6,3,27/07/2012,,Turkey (various),37.4345527777778,36.8193194444444,787,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
95,BdTR3o,,,6,3,27/07/2012,,Turkey (various),37.1173666666667,39.0304333333333,448,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
96,BdTR3p,,,6,3,27/07/2012,,Turkey (various),37.7615472222222,39.5824222222222,1156,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
97,BdTR3r,,,6,3,27/07/2012,,Turkey (various),37.4371888888889,40.1306972222222,710,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
98,BdTR3s,,,6,3,27/07/2012,,Turkey (various),38.0954166666667,40.6585666666667,688,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
99,BdTR3t,,,6,3,27/07/2012,,Turkey (various),37.4588,41.244175,975,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
100,BdTR5a,,,6,3,27/07/2012,,Turkey (various),36.7664555555556,44.53525,886,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
101,BdTR5b,,,6,3,27/07/2012,,Turkey (various),37.778675,35.2026527777778,3196,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
102,BdTR5c,,,6,3,27/07/2012,,Turkey (various),39.7475916666667,36.8157916666667,1574,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
103,BdTR5d,,,6,3,27/07/2012,,Turkey (various),38.4280472222222,32.404575,1012,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
104,BdTR5e,,,6,3,27/07/2012,,Turkey (various),37.7782333333333,31.8849111111111,1288,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
105,BdTR5f,,,6,3,27/07/2012,,Turkey (various),40.3936472222222,32.9853666666667,1596,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
106,BdTR5g,,,6,3,27/07/2012,,Turkey (various),39.7564861111111,32.43235,787,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
107,BdTR5h,,,6,3,27/07/2012,,Turkey (various),39.75445,33.5378805555556,872,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
108,BdTR5i,,,6,3,27/07/2012,,Turkey (various),40.3936472222222,32.9853666666667,1596,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
109,BdTR5j,,,6,3,27/07/2012,,Turkey (various),40.3936472222222,32.9853666666667,1596,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
110,BdTR5k,,,6,3,27/07/2012,,Turkey (various),40.3936472222222,32.9853666666667,1596,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
111,BdTR5m,,,6,3,27/07/2012,,Turkey (various),40.3936472222222,32.9853666666667,1596,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
112,BdTR5n,,,6,3,27/07/2012,,Turkey (various),40.3936472222222,32.9853666666667,1596,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
113,BdTR5o,,,6,3,27/07/2012,,Turkey (various),39.75445,33.5378805555556,872,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
114,BdTR7a,,,6,3,27/07/2012,,Turkey (various),39.7481805555556,34.6503194444444,1035,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
